UF;Município
SP;3550308
RJ;3304557
AM;1302603
CE;2304400
PE;2611606
MA;2111300
SP;3518800
DF;5300108
RJ;3301702
SP;3548500
PA;1501402
SP;3534401
BA;2927408
PB;2507507
SP;3548708
PE;2607901
RJ;3303302
PE;2609600
PE;2613701
RJ;3303500
PE;2602902
SP;3547809
RS;4314902
AP;1600303
RN;2408003
MG;3106200
PR;4106902
GO;5208707
PE;2603454
ES;3205002
SP;3507605
SP;3509502
SP;3530607
SP;3541000
AM;1302504
ES;3205309
RJ;3303906
RJ;3304904
RJ;3306305
SP;3509007
SP;3552205
SP;3552502
SP;3552809
PI;2211001
CE;2303709
RN;2408102
AL;2704302
RJ;3305109
SP;3505708
SP;3522505
SP;3543402
PR;4115200
AC;1200401
CE;2305506
SE;2800308
MG;3170206
RJ;3302403
PR;4113700
SC;4204608
RO;1100205
AM;1301852
AM;1303403
MG;3127701
SP;3501608
SP;3549904
SC;4205407
RR;1400100
MA;2105302
MA;2107506
MA;2111201
MG;3136702
MG;3170107
ES;3201308
SP;3548906
SC;4203204
RO;1100122
AC;1200385
AM;1301001
AM;1301100
AM;1301902
AM;1302702
AM;1303205
AM;1304203
RR;1400050
PA;1500800
TO;1721000
RN;2400208
MG;3106101
MG;3108107
MG;3122306
MG;3131703
MG;3148004
RJ;3305802
SP;3500501
SP;3500709
